"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs326-<b>A</b>,"3 x 10-96",(EA),0.693,'-,"0.084 unit decrease",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19961928
rs326-<b>A</b>,"1 x 10-18",(Hispanic),0.696,'-,"0.117 unit decrease",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19961928
rs326-<b>A</b>,"1 x 10-10","(East Asian)",0.802,'-,"0.108 unit decrease",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19961928
rs326-<b>A</b>,"2 x 10-125",,NR,'-,"0.088 unit decrease",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19961928
rs13702-<b>T</b>,"2 x 10-111",(EA),0.7,'-,"0.091 unit decrease",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19966981
rs13702-<b>T</b>,"1 x 10-16",(Hispanic),0.704,'-,"0.111 unit decrease",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19966981
rs13702-<b>T</b>,"1 x 10-10","(East Asian)",0.803,'-,"0.109 unit decrease",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19966981
rs13702-<b>T</b>,"1 x 10-139",,NR,'-,"0.094 unit decrease",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19966981
rs15285-<b>C</b>,"1 x 10-110",(EA),0.7,'-,"0.091 unit decrease",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19967156
rs15285-<b>C</b>,"1 x 10-16",(Hispanic),0.705,'-,"0.111 unit decrease",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19967156
rs15285-<b>C</b>,"1 x 10-10","(East Asian)",0.803,'-,"0.109 unit decrease",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19967156
rs15285-<b>C</b>,"3 x 10-139",,NR,'-,"0.094 unit decrease",'-,LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:19967156
rs2954029-<b>A</b>,"4 x 10-25",,NR,'-,"0.035 unit decrease",'-,TRIB1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:125478730
rs2954031-<b>G</b>,"3 x 10-23",(EA),0.564,'-,"0.037 unit decrease",'-,"LINC00861, TRIB1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:125479491
rs2954031-<b>G</b>,"3 x 10-25",,NR,'-,"0.036 unit decrease",'-,"LINC00861, TRIB1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:125479491
rs10808546-<b>C</b>,"1 x 10-23",(EA),0.56,'-,"0.038 unit decrease",'-,"LINC00861, TRIB1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:125483576
rs10808546-<b>C</b>,"8 x 10-23",,NR,'-,"0.034 unit decrease",'-,"LINC00861, TRIB1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:125483576
rs112875651-<b>G</b>,"8 x 10-19",(EA),0.62,'-,"0.036 unit decrease",'-,"LINC00861, TRIB1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:125494452
rs112875651-<b>G</b>,"8 x 10-17",,NR,'-,"0.031 unit decrease",'-,"LINC00861, TRIB1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:125494452
rs486349-<b>G</b>,"7 x 10-15",(EA),0.131,'-,"0.044 unit decrease",'-,TTC39B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:15293118
rs486349-<b>G</b>,"2 x 10-16",,NR,'-,"0.044 unit decrease",'-,TTC39B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:15293118
rs540885-<b>G</b>,"1 x 10-13",(EA),0.136,'-,"0.041 unit decrease",'-,TTC39B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:15294598
rs540885-<b>G</b>,"3 x 10-15",,NR,'-,"0.041 unit decrease",'-,TTC39B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:15294598
rs643531-<b>C</b>,"2 x 10-13",(EA),0.137,'-,"0.04 unit decrease",'-,TTC39B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:15296036
rs643531-<b>C</b>,"2 x 10-15",,NR,'-,"0.041 unit decrease",'-,TTC39B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:15296036
rs675849-<b>T</b>,"6 x 10-13",(EA),0.141,'-,"0.039 unit decrease",'-,TTC39B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:15298668
rs675849-<b>T</b>,"3 x 10-14",,NR,'-,"0.039 unit decrease",'-,TTC39B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:15298668
rs581080-<b>G</b>,"6 x 10-11",(EA),0.182,'-,"0.033 unit decrease",'-,TTC39B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:15305380
rs581080-<b>G</b>,"2 x 10-12",,NR,'-,"0.033 unit decrease",'-,TTC39B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:15305380
rs2853579-<b>G</b>,"6 x 10-16",(EA),0.874,'-,"0.046 unit decrease",'-,ABCA1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:104828991
rs2853579-<b>G</b>,"2 x 10-20",,NR,'-,"0.044 unit decrease",'-,ABCA1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:104828991
rs2472386-<b>G</b>,"9 x 10-7",(EA),0.658,'-,"0.019 unit decrease",'-,ABCA1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:104839260
rs2472386-<b>G</b>,"8 x 10-7",(Hispanic),0.586,'-,"0.062 unit decrease",'-,ABCA1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:104839260
rs2472386-<b>G</b>,"1 x 10-11",,NR,'-,"0.024 unit decrease",'-,ABCA1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:104839260
rs11789603-<b>C</b>,"7 x 10-27",(EA),0.893,'-,"0.065 unit decrease",'-,ABCA1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:104884738
rs11789603-<b>C</b>,"9 x 10-29",,NR,'-,"0.062 unit decrease",'-,ABCA1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:104884738
rs3847302-<b>A</b>,"6 x 10-36",(EA),0.877,'-,"0.072 unit increase",'-,ABCA1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,9:104886314
chr1:93837780:D-<b>AAAAC</b>,"1 x 10-8",(EA),0.363,'-,"0.022 unit increase",'-,'-,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,"Mapping not available"
chr1:93837780:D-<b>AAAAC</b>,"6 x 10-10",,NR,'-,"0.022 unit increase",'-,'-,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,"Mapping not available"
rs7519429-<b>A</b>,"6 x 10-7",,NR,'-,"0.018 unit decrease",'-,"PIGC, DNM3","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:172380106
rs6695980-<b>T</b>,"5 x 10-6",,NR,'-,"0.016 unit decrease",'-,"OPTC, ATP2B4","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:203550066
rs2791547-<b>A</b>,"3 x 10-6",(EA),0.387,'-,"0.018 unit increase",'-,LYPLAL1-AS1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:219486326
rs2791547-<b>A</b>,"7 x 10-7",,NR,'-,"0.018 unit increase",'-,LYPLAL1-AS1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:219486326
rs10198423-<b>G</b>,"4 x 10-9",(EA),0.356,'-,"0.024 unit decrease",'-,"Y_RNA, PEBP1P2","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,2:85333439
rs10198423-<b>G</b>,"5 x 10-9",,NR,'-,"0.023 unit decrease",'-,"Y_RNA, PEBP1P2","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,2:85333439
rs112545201-<b>C</b>,"1 x 10-14",(EA),0.867,'-,"0.043 unit increase",'-,ETV5,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,3:186085743
rs112545201-<b>C</b>,"3 x 10-19",,NR,'-,"0.046 unit increase",'-,ETV5,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,3:186085743
chr4:106169706:D-<b>TAAC</b>,"2 x 10-8",(EA),0.95,'-,"0.049 unit decrease",'-,'-,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,"Mapping not available"
chr4:106169706:D-<b>TAAC</b>,"2 x 10-9",,NR,'-,"0.05 unit decrease",'-,'-,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,"Mapping not available"
rs62362194-<b>T</b>,"9 x 10-6",(EA),0.882,'-,"0.027 unit decrease",'-,FCHO2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,5:73050298
rs62362194-<b>T</b>,"4 x 10-8",,NR,'-,"0.03 unit decrease",'-,FCHO2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,5:73050298
rs1651274-<b>A</b>,"4 x 10-7",(EA),0.76,'-,"0.022 unit increase",'-,'-,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,5:158593417
rs1651274-<b>A</b>,"3 x 10-9",,NR,'-,"0.023 unit increase",'-,'-,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,5:158593417
rs10948059-<b>C</b>,"1 x 10-9",(EA),0.523,'-,"0.023 unit decrease",'-,"GNMT, RPL24P4","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,6:42960723
rs10948059-<b>C</b>,"8 x 10-9",,NR,'-,"0.02 unit decrease",'-,"GNMT, RPL24P4","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,6:42960723
rs12529923-<b>C</b>,"3 x 10-8",(EA),0.611,'-,"0.021 unit increase",'-,"GSTA11P, GSTA10P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,6:52871258
rs12529923-<b>C</b>,"1 x 10-8",,NR,'-,"0.021 unit increase",'-,"GSTA11P, GSTA10P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,6:52871258
rs1281955-<b>T</b>,"5 x 10-7",(EA),0.602,'-,"0.019 unit decrease",'-,"RGS17, RNA5SP224","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,6:153138309
rs1281955-<b>T</b>,"2 x 10-8",,NR,'-,"0.02 unit decrease",'-,"RGS17, RNA5SP224","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,6:153138309
rs2534596-<b>A</b>,"4 x 10-7",(EA),0.624,'-,"0.02 unit decrease",'-,"TRGC2, STARD3NL","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:38238191
rs2534596-<b>A</b>,"2 x 10-8",,NR,'-,"0.02 unit decrease",'-,"TRGC2, STARD3NL","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:38238191
rs13248499-<b>G</b>,"4 x 10-9",(EA),0.338,'-,"0.024 unit increase",'-,SNTB1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,8:120848349
rs608736-<b>G</b>,"3 x 10-8",(EA),0.479,'-,"0.021 unit decrease",'-,"ATP5PBP6, LINC01625","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,6:139518361
rs608736-<b>G</b>,"1 x 10-8",,NR,'-,"0.02 unit decrease",'-,"ATP5PBP6, LINC01625","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,6:139518361
rs191555775-<b>A</b>,"2 x 10-16",(EA),0.901,'-,"0.052 unit increase",'-,LPA,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,6:160584357
rs191555775-<b>A</b>,"3 x 10-16",,NR,'-,"0.051 unit increase",'-,LPA,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,6:160584357
rs7759633-<b>G</b>,"5 x 10-6",,NR,'-,"0.024 unit decrease",'-,LPA,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,6:160649958
rs702485-<b>A</b>,"4 x 10-7",(EA),0.555,'-,"0.019 unit decrease",'-,DAGLB,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:6409641
rs702485-<b>A</b>,"4 x 10-9",,NR,'-,"0.021 unit decrease",'-,DAGLB,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:6409641
rs79949326-<b>C</b>,"3 x 10-9",(EA),0.754,'-,"0.026 unit decrease",'-,DAGLB,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:6421679
rs79949326-<b>C</b>,"4 x 10-12",,NR,'-,"0.028 unit decrease",'-,DAGLB,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:6421679
rs6461354-<b>C</b>,"8 x 10-7",(EA),0.589,'-,"0.019 unit increase",'-,SNX13,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:17874977
rs6461354-<b>C</b>,"6 x 10-11",,NR,'-,"0.023 unit increase",'-,SNX13,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:17874977
rs4142995-<b>G</b>,"1 x 10-6",(EA),0.593,'-,"0.019 unit increase",'-,SNX13,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:17879635
rs4142995-<b>G</b>,"2 x 10-10",,NR,'-,"0.022 unit increase",'-,SNX13,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:17879635
rs4917014-<b>T</b>,"2 x 10-6",(EA),0.672,'-,"0.019 unit decrease",'-,IKZF1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:50266267
rs4917014-<b>T</b>,"4 x 10-8",,NR,'-,"0.02 unit decrease",'-,IKZF1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:50266267
rs7811265-<b>A</b>,"1 x 10-12",(EA),0.809,'-,"0.034 unit decrease",'-,BAZ1B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:73520180
rs7811265-<b>A</b>,"4 x 10-12",,NR,'-,"0.031 unit decrease",'-,BAZ1B,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:73520180
rs17145738-<b>C</b>,"9 x 10-10",(EA),0.88,'-,"0.035 unit decrease",'-,TBL2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:73568544
rs17145738-<b>C</b>,"8 x 10-11",,NR,'-,"0.035 unit decrease",'-,TBL2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:73568544
rs9638182-<b>T</b>,"1 x 10-12",(EA),0.821,'-,"0.035 unit decrease",'-,"TBL2, MLXIPL","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:73584775
rs9638182-<b>T</b>,"1 x 10-12",,NR,'-,"0.033 unit decrease",'-,"TBL2, MLXIPL","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:73584775
rs13240994-<b>T</b>,"8 x 10-13",(EA),0.81,'-,"0.035 unit decrease",'-,MLXIPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:73602532
rs13240994-<b>T</b>,"2 x 10-13",,NR,'-,"0.034 unit decrease",'-,MLXIPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:73602532
rs7777102-<b>A</b>,"3 x 10-9",(EA),0.874,'-,"0.035 unit decrease",'-,"MLXIPL, VPS37D","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:73643687
rs7777102-<b>A</b>,"1 x 10-9",,NR,'-,"0.032 unit decrease",'-,"MLXIPL, VPS37D","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,7:73643687
rs17513135-<b>C</b>,"2 x 10-20",,NR,'-,"0.039 unit increase",'-,"PABPC4, PABPC4-AS1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:39570014
rs6657811-<b>A</b>,"2 x 10-10",(EA),0.88,'-,"0.039 unit decrease",'-,CELSR2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:109264661
rs6657811-<b>A</b>,"4 x 10-10",,NR,'-,"0.037 unit decrease",'-,CELSR2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:109264661
rs7528419-<b>A</b>,"2 x 10-15",(EA),0.781,'-,"0.038 unit decrease",'-,CELSR2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST007140,1:109274570
